Bits,Distance,Timeout (ns),Max Retries,Accuracy (%)
2,55,117917227.9633233,8,100
4,99,9994571.149458362,10,99
8,6,15967396.8042848,5,100
16,47,30283013.974101614,9,100
32,8,18751792.174387954,8,100
64,44,28570500.605353385,10,94
128,24,1278339.715417021,9,100
256,9,9604976.054128947,9,100
